cell_idx,particle_id,x,y,z
0,2021,74.841003,36.978001,45.060001
0,3083,45.856998,47.237000,97.380997
100,749,30.200001,42.311001,135.419998
100,2198,74.069000,2.375000,136.445007
200,4,86.666000,80.213997,299.328003
200,1988,58.408001,97.202003,288.743011
200,2183,27.094999,9.241000,278.431000
200,3443,91.271004,55.366001,254.259003
200,3639,38.433998,39.923000,278.108002
200,3984,50.064999,33.051998,286.062988
300,1697,53.278000,45.865002,307.842987
300,1856,14.393000,21.833000,309.432007
300,1976,89.336998,63.569000,333.718994
300,3047,1.277000,76.959999,353.105011
300,3997,88.035004,71.536003,353.484009
300,4031,59.511002,73.717003,376.730011
400,649,45.005001,78.174004,477.223999
400,2146,51.689999,93.386002,432.287994
400,2242,67.410004,94.733002,466.630005
400,2309,95.209999,47.085999,478.160004
500,616,80.966003,52.459000,592.961975
500,1841,95.360001,92.920998,587.216003
500,2312,54.745998,40.471001,507.122009
500,3711,85.411003,24.340000,515.427979
600,223,35.205002,36.528999,670.245972
600,573,64.759003,75.570000,624.341980
600,1519,60.402000,33.466000,624.286011
600,3191,33.729000,3.896000,656.482971
600,3325,34.527000,94.322998,601.286011
600,4012,5.763000,1.841000,663.802002
700,1490,58.006001,14.145000,716.609985
800,3451,2.081000,62.324001,861.901978
900,419,3.174000,55.165001,918.770020
900,647,76.111000,78.221001,918.005981
900,1721,42.792999,8.181000,944.757996
900,1845,74.950996,29.493999,971.713013
900,2133,0.650000,92.624001,961.731018
900,2667,43.405998,13.610000,939.306030
900,2777,46.773998,79.635002,933.770020
900,3013,30.371000,68.788002,929.572998
900,3491,11.092000,38.618000,976.322021
10,814,11.717000,188.147995,40.023998
10,1421,48.009998,187.334000,77.889999
10,1444,80.657997,126.807999,98.068001
10,4084,8.260000,183.705994,28.922001
110,895,42.445000,135.358002,130.363007
110,2158,13.468000,177.496002,142.110992
110,2512,48.938999,128.979996,172.475998
110,2947,48.837002,114.593002,189.063004
110,3046,26.649000,139.425995,155.190994
210,3532,5.587000,123.390999,203.350006
310,42,69.666000,149.897003,380.634003
310,399,86.787003,134.875000,371.102997
310,410,77.918999,107.467003,340.286011
310,1688,48.730999,158.039001,386.542999
310,2155,51.613998,145.000000,305.763000
310,2684,45.049000,147.272003,315.480011
310,3221,91.541000,153.955994,385.695007
410,1561,8.911000,150.225006,475.151001
410,1725,6.502000,107.058998,400.526001
410,1950,73.775002,197.802002,452.216003
410,3468,53.256001,172.296997,499.908997
410,4023,1.041000,198.307007,498.035004
510,327,81.475998,158.134003,514.718018
510,361,3.857000,143.882004,523.208008
510,1190,1.526000,117.586998,542.479004
510,1657,43.666000,162.889008,500.121002
510,2482,81.410004,111.605003,546.215027
510,3305,29.679001,146.834000,556.111023
610,268,12.280000,123.068001,671.973999
610,2132,65.819000,114.180000,662.140991
610,2192,27.924000,153.835007,674.763000
610,3400,85.306000,152.251007,641.685974
710,999,87.239998,179.815002,735.497009
710,1012,18.339001,140.707993,741.831970
710,1527,19.500999,157.988007,723.992004
810,174,14.308000,109.218002,865.221985
810,2085,82.453003,140.947006,833.835022
810,2239,47.491001,124.966003,848.549988
